Country	Long	Lat
Afghanistan	34.33463	65.924811
Algeria	29.074992	2.535604
Argentina	-36.351102	-65.286691
Bangladesh	23.983369	90.176647
Belgium	50.739671	4.603043
Brazil	-9.31147	-48.8586
Bulgaria	42.747875	25.327158
Canada	57.596466	-103.391711
Chile	-34.617996	-71.575304
Czech_Republic	49.906949	15.315223
Ecuador	-0.827993	-78.616981
Egypt	26.313642	30.06316
Eritrea	15.091612	39.543413
Ethiopia	8.013388	39.604882
France	47.102804	2.23523
Germany	51.319414	10.167359
Greece	39.235394	21.900757
Guatemala	15.4701	-90.225045
Hungary	47.207237	19.69424
India	21.345411	78.984954
Iran	32.79873	54.241965
Israel	31.083743	34.842718
Italy	43.329877	12.510003
Jordan	31.110008	36.351031
Lebanon	33.979403	35.778597
Libya	28.182311	16.954133
Macedonia	41.646263	21.620249
Mexico	20.293656	-100.40448
Montenegro	42.801894	19.194826
Morocco	32.285583	-6.426783
Nepal	28.016321	84.401806
Norway	61.147725	9.175922
Pakistan	29.307868	68.954777
Palestine	32.036235	35.248933
Peru	-9.088323	-75.716097
Portugal	39.886652	-8.705523
Russia	57.048928	34.986491
Serbia	44.356884	20.846454
Spain	40.290868	-3.431363
Syria	35.189603	38.541351
Tajikistan	38.93596	70.967146
Tunisia	34.310143	9.199363
Turkey	39.330922	35.669049
Ukraine	49.354148	31.507613
United_Kingdom	52.925538	-1.62574
USA	39.880246	-97.93725
Uzbekistan	41.688853	63.687499
Yemen	15.480491	47.564354
