Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
3156-11	KP:GERM28819	Germplasm_Accession	Canada	Lens_culinaris		8	8
CDC_ASTERIX	KP:GERM28820	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_CHERIE	KP:GERM28821	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_GLAMIS	KP:GERM28822	Germplasm_Accession	Canada	Lens_culinaris		8	8
CDC_GOLD	KP:GERM28823	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_GREENSTAR	KP:GERM28824	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_IMAX	KP:GERM28825	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_IMPOWER	KP:GERM28826	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_KR-1	KP:GERM28827	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_LEMAY	KP:GERM28828	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_MAXIM	KP:GERM28829	Germplasm_Accession	Canada	Lens_culinaris			8
QG-1-merged	KP:GERM28830	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_REDCOAT	KP:GERM28831	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_RED_RIDER	KP:GERM28832	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_REDWING	KP:GERM28833	Germplasm_Accession	Canada	Lens_culinaris			5
CDC_Robin	KP:GERM28834	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_ROSEBUD	KP:GERM28835	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_ROSETOWN	KP:GERM28836	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_ROSIE	KP:GERM28837	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_ROULEAU	KP:GERM28838	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_ROYALE	KP:GERM28839	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
CDC_RUBY	KP:GERM28840	Germplasm_Accession	Canada	Lens_culinaris		8	8
SB-1-merged	KP:GERM28841	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_SEDLEY	KP:GERM28842	Germplasm_Accession	Canada	Lens_culinaris			8
CDC_VANTAGE	KP:GERM28843	Germplasm_Accession	Canada	Lens_culinaris			8
CN_105604	KP:GERM28844	Germplasm_Accession	Ethiopia	Lens_culinaris	4	4	4
CN_105605	KP:GERM28845	Germplasm_Accession	Eritrea	Lens_culinaris			6
CN_105715-merged	KP:GERM28846	Germplasm_Accession	Ethiopia	Lens_culinaris			7
CN_105732	KP:GERM28847	Germplasm_Accession	Ethiopia	Lens_culinaris			8
CN_105767	KP:GERM28848	Germplasm_Accession	Libya	Lens_culinaris		8	8
CN_105777	KP:GERM28849	Germplasm_Accession	Egypt	Lens_culinaris			5
CN_105789	KP:GERM28850	Germplasm_Accession	Ethiopia	Lens_culinaris	5	5	5
CN_105791	KP:GERM28851	Germplasm_Accession	Egypt	Lens_culinaris			5
CN_105862	KP:GERM28852	Germplasm_Accession	Tunisia	Lens_culinaris		7	7
