"Name"	"Name-vcf"	"Accession"	"Category"	"Origin"	"Source_Species"	"GenGroup90"	"GenGroup80"	"GenGroup"	"Long"	"Lat"	"Notes"
"IG_1046"	"IG_1046_AGL"	"KP:GERM28864"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_298357_LSP"	"PI_298357_LSP_AGL"	"KP:GERM28991"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"		1	1	"na"	"na"	
"IG_4258"	"IG_4258_AGL"	"KP:GERM28867"	"Germplasm_Accession"	"India"	"Lens_culinaris"			1	"na"	"na"	
"PI_472213_LSP"	"PI_472213_LSP_AGL"	"KP:GERM29113"	"Germplasm_Accession"	"India"	"Lens_culinaris"			1	"na"	"na"	
"ILL_1553"	"ILL_1553_AGL"	"KP:GERM28879"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_329157_LSP"	"PI_329157_LSP_AGL"	"KP:GERM29028"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_431618_LSP"	"PI_431618_LSP_AGL"	"KP:GERM29058"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"		1	1	"na"	"na"	
"PI_431636_LSP"	"PI_431636_LSP_AGL"	"KP:GERM29062"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			1	"na"	"na"	
"PI_431643_LSP"	"PI_431643_LSP_AGL"	"KP:GERM29063"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_431809_LSP"	"PI_431809_LSP_AGL"	"KP:GERM29077"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			1	"na"	"na"	
"PI_431824_LSP"	"PI_431824_LSP_AGL"	"KP:GERM29078"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_431884_LSP"	"PI_431884_LSP_AGL"	"KP:GERM29081"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_431980_LSP"	"PI_431980_LSP_AGL"	"KP:GERM29085"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"		1	1	"na"	"na"	
"PI_432001_LSP"	"PI_432001_LSP_AGL"	"KP:GERM29087"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			1	"na"	"na"	
"PI_432005_LSP"	"PI_432005_LSP_AGL"	"KP:GERM29089"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			1	"na"	"na"	
"PI_432085_LSP"	"PI_432085_LSP_AGL"	"KP:GERM29092"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_432184_LSP"	"PI_432184_LSP_AGL"	"KP:GERM29097"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
"PI_432188_LSP"	"PI_432188_LSP_AGL"	"KP:GERM29098"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	1	1	1	"na"	"na"	
